order_item_id,order_id,product_id,quantity,price
3ef0c2c5-8c21-48a5-a753-2a4fbce5257d,ORD_0,PROD_89,1,113.41
932f2748-10a2-4c2f-9321-168c5b29d403,ORD_1,PROD_63,3,342.49
9cf4865f-61af-418e-a239-7341833a3f9e,ORD_1,PROD_56,3,381.38
b74c70e1-9f55-49ed-9541-7b90bc00e63d,ORD_1,PROD_59,2,165.57
ae1644ec-b52d-40ed-b7d2-a34f38514300,ORD_2,PROD_22,2,387.47
ca84ffc1-2bd7-4797-8aff-3151fcf65239,ORD_2,PROD_61,3,218.19
eccf8e3d-68da-4ca0-b702-2c760a0470f9,ORD_2,PROD_24,2,137.25
e5891d9a-e829-405a-8b9a-4ba3c957fda7,ORD_3,PROD_9,3,158.82
9c3bc658-971d-40ff-a8ec-fd8f0efe0836,ORD_3,PROD_62,1,267.93
ff6424c3-9788-4ccd-8453-e4c0a6d6ddc4,ORD_4,PROD_93,2,21.52
0fd8b4df-9a5b-4317-8520-a12bfcf58e71,ORD_4,PROD_21,1,432.69
00ad31ae-c961-4ac2-ad06-ec07b3939e4f,ORD_5,PROD_37,2,196.11
6a174c4c-b06d-4405-bc1b-3c9c559615a1,ORD_5,PROD_48,2,426.91
ecc95048-fefb-4593-85cf-ec4f1b9ff8e9,ORD_5,PROD_52,1,310.64
4cf59522-b47f-4bf5-b64f-98acad1ed16f,ORD_5,PROD_98,1,438.85
d922bb8a-8cb5-4fbc-9df5-a460f0d328f6,ORD_6,PROD_61,3,218.19
763c0f03-2220-4865-9f7d-3b38f568e392,ORD_6,PROD_89,3,113.41
f112e330-867c-4ac2-8e68-de4dad532ba6,ORD_6,PROD_30,2,169.56
203c9c68-f398-49e3-8229-57007c71ad8d,ORD_7,PROD_80,2,288.1
83eaa203-3537-4c84-a119-64ee4a6e55d3,ORD_7,PROD_5,1,69.85
5f6a0909-b48c-4bb2-b45b-c0481b36c36c,ORD_8,PROD_67,1,251.35
b318a1a0-ecc0-4809-a259-66e6d5ef805f,ORD_8,PROD_0,1,233.68
b4543c72-7c03-41ca-a8d2-0fdb24c40513,ORD_8,PROD_26,2,419.55
a426c466-9152-4cb5-9cd7-0e3e8f54850e,ORD_9,PROD_54,3,498.73
ce3c9d72-0923-4ddf-8377-eafda191c27f,ORD_9,PROD_17,2,490.22
2950b174-e81b-4c56-acbb-f05e8944afa6,ORD_9,PROD_29,2,271.6
